available;dwellingId;rent;lat;deletedAt;lng;size;rooms;year;month
;217789;11000;55.6558189;10-04-2018;12.5361538;59;2;2018;4
;161867;11900;55.6638412;16-04-2017;12.6288424;79;2;2017;4
;117613;13950;55.7352982;29-01-2016;12.4375935;124;3;2016;1
;21233;10650;55.7249947;02-07-2013;12.4774513;88;3;2013;7
;113453;14246;55.7061958;07-01-2016;12.5751514;87;3;2016;1
;90019;12000;55.7324829;19-05-2015;12.5756292;90;3;2015;5
;236856;9975;55.6215706;26-09-2018;12.5719404;59;2;2018;9
;147459;19500;55.6633911;14-11-2016;12.573082;117;4;2016;11
;201819;5000;55.6862373;04-01-2018;12.591692;15;1;2018;1
;224266;16990;55.6612244;06-07-2018;12.5119257;145;4;2018;7
;106321;4000;55.6058655;19-11-2015;12.5944633;16;1;2015;11
;111745;7000;55.7107697;13-12-2015;12.527504;46;1;2015;12
;105298;5000;55.7193909;05-10-2015;12.5778713;16;1;2015;10
;134632;5500;55.6982994;31-07-2016;12.537158;12;1;2016;7
;133652;4000;55.7173157;20-07-2016;12.4676266;16;1;2016;7
;233776;15400;55.7218819;29-10-2018;12.5799103;95;2;2018;10
;243435;12900;55.6448479;14-03-2019;12.5474138;91;3;2019;3
;82450;3800;55.6817627;22-03-2015;12.4910564;13;1;2015;3
;75020;12508;55.7061958;09-01-2015;12.5751514;79;2;2015;1
;131106;19250;55.6758347;31-10-2016;12.5439396;156;5;2016;10
;174106;4750;55.6862373;15-05-2017;12.591692;28;1;2017;5
;192094;6000;55.6572227;11-09-2017;12.611124;46;1;2017;9
;243128;11950;55.6775856;21-11-2018;12.5690737;92;2;2018;11
;246591;15626;55.6787338;02-01-2019;12.5545988;114.9;3;2019;1
;230739;24000;55.6862373;24-08-2018;12.591692;168;4;2018;8
;238310;6295;55.6841469;04-10-2018;12.5021648;35;1;2018;10
;114732;4000;55.6798553;04-01-2016;12.4945831;13;1;2016;1
;56176;4000;55.6698303;09-08-2014;12.4911604;9;1;2014;8
;171405;12413.37;55.6523819;08-06-2017;12.5497942;98;3;2017;6
;145799;12425;55.6668358;13-10-2016;12.5558882;62;1;2016;10
;165105;15800;55.6488609;21-04-2017;12.552084;102;3;2017;4
;240603;19800;55.6783218;22-11-2018;12.5876322;149;4;2018;11
;173581;8000;55.7024078;23-06-2017;12.5242205;70;2;2017;6
;146393;4700;55.6823502;28-12-2016;12.5133362;20;1;2016;12
